Evaluation,$rx_patch_l,$rx_patch_w,$rx_pos_x,$rx_tc,Cost
619,34.2040422357834mm,34.0203311664319mm,-0.662318583434263fraction,4.52360989196923mm,7.6408e-05
655,34.2040422357834mm,34.0202287157854mm,-0.662318648160046fraction,4.51072978434245mm,0.00029415
513,34.2040422357834mm,34.0202320617612mm,-0.66231247073357fraction,4.84998027721088mm,0.0037924
588,34.2040422357834mm,34.0255318647309mm,-0.661634949378072fraction,4.71388695914518mm,0.0052843
630,34.2040422357834mm,34.0255232740064mm,-0.661634949378072fraction,4.71388695914518mm,0.0073771
624,34.2040422357834mm,34.0253932832407mm,-0.66166669902343fraction,4.8519905923219mm,0.013013
608,34.2040422357834mm,34.0204577267554mm,-0.593412036303899fraction,4.8519905923219mm,0.014175
602,34.2040422357834mm,34.0204306283941mm,-0.593412036303899fraction,4.8519905923219mm,0.014177
643,34.2040422357834mm,34.0202320617612mm,-0.664258188779071fraction,4.85009470355242mm,0.014565
601,34.2040422357834mm,34.019926100601mm,-0.661666666666667fraction,4.8519905923219mm,0.014921
553,34.2040422357834mm,34.0190688629768mm,-0.631335598006506fraction,4.85198710483988mm,0.016556
579,34.2040422357834mm,34.024785630853mm,-0.664547124469372fraction,4.85246257156267mm,0.0174
580,34.2040422357834mm,34.0263513577295mm,-0.661793099827131fraction,4.86650090009159mm,0.017652
607,34.2040422357834mm,34.0204340124127mm,-0.660323039810878fraction,4.8519905923219mm,0.018029
393,34.2208551564334mm,34.0245223016258mm,-0.635150309044146fraction,4.88437459646278mm,0.01845
545,34.2040422357834mm,34.0204155557378mm,-0.662318583434263fraction,4.8519905923219mm,0.018456
593,34.2019285767655mm,34.0249544638211mm,-0.664274941326414fraction,4.85199332169977mm,0.018457
569,34.2040422357834mm,34.0197708187973mm,-0.664406151397406fraction,4.85168670922706mm,0.018655
634,34.2224594536653mm,34.0204306283941mm,-0.593412036303899fraction,4.8519905923219mm,0.0189
664,34.2040422357834mm,34.0245982622508mm,-0.631335598006506fraction,4.85198710483988mm,0.02025
598,34.2208551564334mm,34.0245223016258mm,-0.635917782000377fraction,4.88352804518089mm,0.020365
534,34.2040422357834mm,34.0264920815705mm,-0.661668096668713fraction,4.8519905923219mm,0.020539
610,34.2040422357834mm,34.026467480831mm,-0.661668096668713fraction,4.8519905923219mm,0.02054
585,34.2040422357834mm,34.0246449070119mm,-0.66495389314419fraction,4.86697287933236mm,0.020825
661,34.2040422357834mm,34.0249544819579mm,-0.664518707846147fraction,4.85202186406591mm,0.020857
657,34.2040422357834mm,34.024643750221mm,-0.664666999828242fraction,4.85129405277698mm,0.021354
516,34.2229484983935mm,34.0246410860032mm,-0.636516530885565fraction,4.8519905923219mm,0.021373
535,34.2040422357834mm,34.0249544638211mm,-0.664274941326414fraction,4.85199332169977mm,0.02174
599,34.2040422357834mm,34.0194570101233mm,-0.631335598006506fraction,4.85198710483988mm,0.022208
561,34.2040422357834mm,34.0246449070119mm,-0.664672127627789fraction,4.86697287933236mm,0.022347
542,34.2040422357834mm,34.0245453868277mm,-0.599741300172693fraction,4.86741736556495mm,0.022834
626,34.2040422357834mm,34.0249644493976mm,-0.664547124469372fraction,4.85247000372818mm,0.022912
543,34.2040422357834mm,34.0249544638211mm,-0.664274941326414fraction,4.85077553633141mm,0.024014
642,34.1983635715306mm,34.0249544638211mm,-0.664072455163641fraction,4.85198885114799mm,0.024182
511,34.2040422357834mm,34.0249544638211mm,-0.664274941326414fraction,4.85206124972786mm,0.024303
665,34.2040422357834mm,34.0199924591343mm,-0.593412036303899fraction,4.8519905923219mm,0.024526
423,34.2040422357834mm,34.0199368804262mm,-0.593412036303899fraction,4.8519905923219mm,0.024533
596,34.2040422357834mm,34.0199342243023mm,-0.593412036303899fraction,4.8519905923219mm,0.024533
631,34.2040422357834mm,34.024643750221mm,-0.664672127627789fraction,4.85125570686415mm,0.024651
531,34.2040422357834mm,34.020461110774mm,-0.660323039810878fraction,4.8519905923219mm,0.024698
605,34.2040422357834mm,34.0249544638211mm,-0.664061618770291fraction,4.85199068579791mm,0.024743
541,34.2040422357834mm,34.0206411387546mm,-0.665851152576663fraction,4.84998027721088mm,0.025042
656,34.2040422357834mm,34.0203345124077mm,-0.662312406007787fraction,4.86286038483765mm,0.025208
