Evaluation,$tx_patch_l,$tx_patch_w,$tx_pos_x,$tx_tc,Cost
42,31.8673081252416mm,31.1843300054853mm,-0.674565561656094fraction,4.5726078894434mm,0
39,31.3807878277902mm,31.2197588521017mm,-0.59455350827158fraction,4.00566755923587mm,0
37,31.5520862727543mm,31.2751324831853mm,-0.65163411519488fraction,4.30496311230142mm,0
33,31.9319325527985mm,31.0792992311874mm,-0.532157604730934fraction,4.40927777913475mm,0.0018693
56,32.159066215492mm,31.1949631444827mm,-0.935967378644415fraction,4.64362933941933mm,0.0043501
63,31.4500828919254mm,31.4187727973739mm,-0.775939454315078fraction,4.77675083209628mm,0.0054914
67,31.4336684169042mm,31.3853202305393mm,-0.55163411519488fraction,4.8mm,0.0076926
65,31.29545666169mm,31.1485827243765mm,-0.555248691114707fraction,4.2566611158019mm,0.0085411
5,31.3970588235294mm,31.2316176470588mm,-0.526143790849673fraction,4.66352941176471mm,0.012624
62,31.3103949351385mm,31.2921895120876mm,-0.577855999884551fraction,4.60492100322883mm,0.013688
66,32.2700964525461mm,31.3538016277411mm,-1fraction,4.8mm,0.013835
30,31.3007721634217mm,31.1258274910134mm,-0.600087649264522fraction,4.12183167810237mm,0.028717
60,31.7273722505384mm,31.4866180364331mm,-0.967930935658708fraction,4.70676467334653mm,0.031988
51,31.5680499359999mm,31.3824637566775mm,-1fraction,4.34649678812999mm,0.30008
13,32.1029411764706mm,31.3253676470588mm,-0.82244008714597fraction,4.40752941176471mm,0.30139
31,32.1557973306258mm,31.0919119849843mm,-0.578360938458619fraction,4.69606623908315mm,0.35462
43,31mm,31.1684459436587mm,-0.506784363169645fraction,4.06110405786113mm,0.41287
27,32.5mm,31.3552834660653mm,-0.592773436799825fraction,4.76420006950191mm,0.60436
32,32.14133478148mm,31.4502282236282mm,-0.709521340757801fraction,4.519944271888mm,0.70432
21,31.3550005231943mm,31.2786430077896mm,-0.98882499231778fraction,4.43436390871285mm,1.1579
64,32.3520676510497mm,31.1723222452862mm,-0.977166283976575fraction,4.288162913398mm,1.3064
45,31mm,31.1912655154544mm,-0.762446646557991fraction,4.36787264717946mm,2.034
54,31mm,31.4478156818479mm,-0.778592967658346fraction,4.35303071934469mm,2.4734
1,31.0441176470588mm,31.0441176470588mm,-0.970588235294118fraction,4.02352941176471mm,3.1224
44,31mm,31.4363967705425mm,-0.717304566326159fraction,4.16895479551491mm,3.5747
40,31.0453231390887mm,31.1422961194258mm,-0.731451480429131fraction,4.75969458413178mm,4.0888
50,31mm,31.3374454716523mm,-1fraction,4.57447977918925mm,4.562
36,31mm,31.0297052286061mm,-0.656531691676231fraction,4.22053954100892mm,4.7398
52,31mm,31.2729814797696mm,-0.978613208152782fraction,4.20604155023377mm,5.062
26,31mm,31.0831047234499mm,-0.405780365830962fraction,4.28036170023429mm,6.7493
19,31.6324202988841mm,31.6359405613987mm,-0.584067639276453fraction,4.75995685510679mm,7.0917
28,32.5mm,31.1603306978219mm,-0.550073290128169fraction,4.48903876121705mm,7.1928
68,31.0037096241237mm,31.1152490770534mm,-0.998653472513904fraction,4.22496311230142mm,8.85
22,32.5mm,31mm,-0.948588763122255fraction,4.8mm,9.5165
34,32.3828902042735mm,31.5536546265619mm,-0.803438694994734fraction,4.71136882530956mm,9.5305
61,32.2765006632961mm,31.4109726976174mm,-0.622939720274805fraction,4.27377790473545mm,10.715
29,31mm,31.0395337440998mm,-0.807044800809984fraction,4.62967234951443mm,13.532
35,31mm,31.4511043691447mm,-0.742226427776219fraction,4.02865764763866mm,22.635
46,32.5mm,31.5947588427246mm,-1fraction,4.42367499235683mm,24.287
11,31.9264705882353mm,31.5128676470588mm,-0.600217864923747fraction,4.08752941176471mm,28.593
41,31.6420522217591mm,31.6368742314201mm,-0.676543294855184fraction,4.3415041375222mm,30.977
49,32.5mm,31.5633963747338mm,-0.493397448836068fraction,4.39174844543205mm,33.073
55,31.0923914077845mm,31.6919955288345mm,-0.623631645439189fraction,4.54570545822016mm,34.627
48,31.8469839676546mm,31.6752165585426mm,-0.72788175314606fraction,4.46031755474281mm,38.236
57,31.9029494545257mm,31.7831779277968mm,-0.857456662082273fraction,4.6680636103316mm,40.693
7,31.5735294117647mm,31.6066176470588mm,-0.748366013071895fraction,4.21552941176471mm,42.294
3,31.2205882352941mm,31.4191176470588mm,-0.303921568627451fraction,4.34352941176471mm,48.279
59,31.2116525392852mm,31.7380647493099mm,-0.919233257306577fraction,4.46705892299376mm,50.782
58,31.9975680007789mm,31.6652360909833mm,-0.891135785106874fraction,4.22553940202119mm,52.139
17,32.4558823529412mm,31.0909926470588mm,-0.377995642701525fraction,4.27952941176471mm,66.828
10,31.8382352941176mm,31.8878676470588mm,-0.933551198257081fraction,4.69552941176471mm,76.142
38,32.5mm,31.8953502188869mm,-0.892964394082381fraction,4.78377198225541mm,78.061
