Evaluation,$tx_patch_l,$tx_patch_w,$tx_pos_x,$tx_tc,Cost
450,32.2214771029886mm,31.1761949131259mm,-0.661666666666667fraction,4.59231336620959mm,0
448,32.2219119028897mm,31.1762899198329mm,-0.66228382134243fraction,4.58797608199753mm,0
447,32.0229988296015mm,31.1736079076592mm,-0.670186989090609fraction,4.4608826667497mm,0
446,32.0232870658176mm,31.1736179913351mm,-0.661666666666667fraction,4.46522711171473mm,0
445,32.0173498158162mm,31.1733810163692mm,-0.661666666666667fraction,4.46522711171473mm,0
439,32.0885828389713mm,31.1762363909124mm,-0.741880503698436fraction,4.5129369856674mm,0
436,32.0888262739844mm,31.1762604473396mm,-0.765958959061908fraction,4.50992589424164mm,0
435,32.084467731929mm,31.1761757360102mm,-0.741880503698436fraction,4.5129369856674mm,0
434,32.0897772689645mm,31.1733911000452mm,-0.661405609986001fraction,4.50677213883509mm,0
433,32.016443622039mm,31.1762326959788mm,-0.742141560379102fraction,4.47139195854705mm,0
432,32.0885828389713mm,31.1761474640645mm,-0.741880503698436fraction,4.5129369856674mm,0
429,32.0827273854251mm,31.1752479105056mm,-0.742714065034261fraction,4.51278094310418mm,0
427,32.0887127900479mm,31.17625mm,-0.743427430357462fraction,4.51132890679661mm,0
422,32.0885828389713mm,31.17625mm,-0.770985424718221fraction,4.5129369856674mm,0
419,32.0160255481034mm,31.1683937911152mm,-0.661666666666667fraction,4.42333724841143mm,0
418,32.1692459188795mm,31.1752479105056mm,-0.741880503698436fraction,4.5129369856674mm,0
417,32.0885828389713mm,31.17625mm,-0.659376071609444fraction,4.5129369856674mm,0
416,32.0176380520322mm,31.1733810163692mm,-0.745718025414685fraction,4.46522711171473mm,0
415,32.0885828389713mm,31.1762596120142mm,-0.741800158017438fraction,4.5129369856674mm,0
414,32.0839416568406mm,31.176232512202mm,-0.743507776038459fraction,4.5129369856674mm,0
413,32.0885828389713mm,31.1752479105056mm,-0.664996100688407fraction,4.5129369856674mm,0
412,32.0228829494366mm,31.1735887286076mm,-0.738551069676695fraction,4.46522711171473mm,0
408,32.0905867980418mm,31.1762111670191mm,-0.744764740351606fraction,4.58272702438698mm,0
405,32.0176380520322mm,31.1794286963224mm,-0.664418948774043fraction,4.46522711171473mm,0
398,32.0885828389713mm,31.1762620298949mm,-0.741880503698436fraction,4.5129369856674mm,0
396,32.0080806112722mm,31.1733911000452mm,-0.661666666666667fraction,4.46541355836961mm,0
390,32.0847111669421mm,31.1761741534549mm,-0.765958959061908fraction,4.50992589424164mm,0
389,32.0229988296015mm,31.1736179913351mm,-0.661666666666667fraction,4.46522711171473mm,0
388,32.0176380520322mm,31.1733810163692mm,-0.661666666666667fraction,4.46522711171473mm,0
386,32.0885828389713mm,31.17625mm,-0.741174982452317fraction,4.5129369856674mm,0
384,32.0839416568406mm,31.1762594282374mm,-0.743427430357462fraction,4.5129369856674mm,0
383,32.2219119028897mm,31.1762899198329mm,-0.670804143766373fraction,4.5836316370325mm,0
373,32.0885828389713mm,31.1762326959788mm,-0.741880503698436fraction,4.5129369856674mm,0
372,32.0885828389713mm,31.1752479105056mm,-0.741880503698436fraction,4.5129369856674mm,0
367,32.0228829494366mm,31.1735887286076mm,-0.661666666666667fraction,4.46522711171473mm,0
366,32.0177539321972mm,31.1734102790968mm,-0.661666666666667fraction,4.46522711171473mm,0
328,32.0229988296015mm,31.1736079076592mm,-0.661666666666667fraction,4.46522711171473mm,0
320,32.0885828389713mm,31.17625mm,-0.743427430357462fraction,4.5129369856674mm,0
260,32.0885828389713mm,31.17625mm,-0.741880503698436fraction,4.5129369856674mm,0
198,32.0176380520322mm,31.1733911000452mm,-0.661666666666667fraction,4.46522711171473mm,0
442,32.2642557338099mm,31.1562848954955mm,-0.73877155570422fraction,4.58035685157915mm,1.8922e-05
423,32.2365382548441mm,31.1429522570435mm,-0.813782539491338fraction,4.58060879385531mm,2.7875e-05
381,32.2230310156909mm,31.1762536539186mm,-0.747850672558538fraction,4.53797243745085mm,3.3623e-05
305,32.0885828389713mm,31.1752306064843mm,-0.741880503698436fraction,4.5129369856674mm,4.2141e-05
437,32.0200772747864mm,31.176674211261mm,-0.732102744050353fraction,4.46536709847146mm,4.7514e-05
449,32.0180728519333mm,31.1734861067522mm,-0.670804143766373fraction,4.45654538253764mm,0.00016608
428,32.0904568469652mm,31.1762111670191mm,-0.744764740351606fraction,4.58433510325778mm,0.00019183
438,32.239753762808mm,31.1736079076592mm,-0.661666666666667fraction,4.58046880709859mm,0.00035832
365,32.0885828389713mm,31.1762117755273mm,-0.744764740351606fraction,4.58272702438698mm,0.00053732
391,32.2236333844508mm,31.17625mm,-0.74204479882562fraction,4.5131969342876mm,0.00070486
426,32.1706096070847mm,31.1684087248239mm,-0.647676637038677fraction,4.50953949021399mm,0.00077985
430,32.2426876615392mm,31.176674211261mm,-0.731269182714528fraction,4.58076483641853mm,0.00096545
404,32.2368322079929mm,31.1369146607663mm,-0.824405315002436fraction,4.58060879385531mm,0.00099183
285,32.1624820241218mm,31.1429522570435mm,-0.827604510917058fraction,4.49702677436579mm,0.0011597
441,32.2181996098578mm,31.1758954409316mm,-0.655896216556447fraction,4.57672446837251mm,0.0012355
341,32.2368322079929mm,31.1429522570435mm,-0.827157597109813fraction,4.58060879385531mm,0.0012813
395,32.260543440778mm,31.1758954409316mm,-0.655896216556447fraction,4.58034095041155mm,0.0018092
444,32.2578709049216mm,31.1570667455971mm,-0.652751454925235fraction,4.57628950844339mm,0.0019254
443,32.2240409979681mm,31.156275736991mm,-0.746876246346219fraction,4.50645844863598mm,0.0020454
420,32.1719772613855mm,31.1734060337539mm,-0.654472405203328fraction,4.46751869726594mm,0.0021038
402,32.0885828389713mm,31.1425280457825mm,-0.838482283416921fraction,4.5129369856674mm,0.0026781
425,32.084466317314mm,31.1761741534549mm,-0.772754727226559fraction,4.42601523799027mm,0.0032643
394,32.2590520404515mm,31.1773889550766mm,-0.656495965181281fraction,4.51062977852287mm,0.0034104
440,32.2590520404515mm,31.1774025641642mm,-0.656495965181281fraction,4.51062977852287mm,0.0034242
363,32.2590520404515mm,31.1773889550766mm,-0.656498364543471fraction,4.5129369856674mm,0.0051428
345,32.260543440778mm,31.1758954409316mm,-0.655893817194257fraction,4.57803374326702mm,0.0054132
347,32.2219119028897mm,31.1562848954955mm,-0.73877155570422fraction,4.57674036954011mm,0.0056588
403,32.2368322079929mm,31.176674211261mm,-0.732102744050353fraction,4.58060879385531mm,0.0059986
282,31.4260036236256mm,31.1423295046987mm,-0.468036616712173fraction,4.47374627321364mm,0.0065033
335,32.2177737427932mm,31.17625mm,-0.966187883237208fraction,4.57841899130377mm,0.0069167
431,32.2197617124216mm,31.175274599896mm,-0.766123254189092fraction,4.51018584286184mm,0.0078458
377,32.2368322079929mm,31.1775911116085mm,-0.824841201555929fraction,4.58061769057788mm,0.0093186
371,32.1703647574567mm,31.1684087248239mm,-0.654472405203328fraction,4.42562883396263mm,0.0094159
392,32.26mm,31.1570575870925mm,-0.660856145567234fraction,4.50600758753926mm,0.0095174
357,32.2197617124216mm,31.1761741534549mm,-0.766123254189092fraction,4.51018584286184mm,0.0097428
401,32.2584041053752mm,31.17625mm,-0.655908992777303fraction,4.57332520527738mm,0.010791
311,32.26mm,31.1773889550766mm,-0.660856145567234fraction,4.5129369856674mm,0.011235
378,32.2212732602614mm,31.1760607467249mm,-0.818803970706464fraction,4.5116mm,0.011517
317,32.146604036403mm,31.1762867449025mm,-0.851691634680686fraction,4.57803374326702mm,0.012489
333,32.2219119028897mm,31.17625mm,-0.990884773662551fraction,4.5692336297419mm,0.013142
407,32.2543687279346mm,31.1771721474626mm,-0.660856145567234fraction,4.5129369856674mm,0.013705
410,31.4202237277438mm,31.1454569992154mm,-0.660856145567234fraction,4.47470898098085mm,0.013984
361,32.2777764231214mm,31.1760646277555mm,-0.738288077713096fraction,4.51318333481361mm,0.015812
217,32.2219119028897mm,31.17625mm,-0.990884773662551fraction,4.57803374326702mm,0.019941
385,32.2592804045615mm,31.1771627192251mm,-0.660856145567234fraction,4.5129369856674mm,0.021756
269,32.26mm,31.1574238505721mm,-0.660856145567234fraction,4.5129369856674mm,0.021893
331,32.1734922831674mm,31.1697597861437mm,-0.828796428649581fraction,4.42562883396263mm,0.022211
343,32.26mm,31.1789677637915mm,-0.818803970706464fraction,4.5116mm,0.022744
421,32.2177737427932mm,31.17625mm,-0.937082962217422fraction,4.57841899130377mm,0.022804
329,32.2546392224307mm,31.1771721474626mm,-0.660856145567234fraction,4.5129369856674mm,0.023019
399,32.26mm,31.1773769251817mm,-0.660856145567234fraction,4.5129369856674mm,0.023175
424,32.2602939531488mm,31.1570575870925mm,-0.674231203185708fraction,4.50600758753926mm,0.025501
370,32.0220934496774mm,31.0671745484427mm,-0.833648139069177fraction,4.46522711171473mm,0.027108
360,32.2224994936897mm,31.1712907245295mm,-0.985871639156363fraction,4.50993949371563mm,0.027149
303,32.2783640139215mm,31.171105352285mm,-0.733274943206908fraction,4.5129369856674mm,0.027243
192,32.26mm,31.17625mm,-0.654527768154675fraction,4.5129369856674mm,0.027562
288,32.1748201551019mm,31.0621921732215mm,-0.826453877605839fraction,4.42562883396263mm,0.032104
292,32.2219119028897mm,31.17625mm,-0.966187883237208fraction,4.57803374326702mm,0.032831
362,32.2150107843354mm,31.17625mm,-0.979222584555559fraction,4.50876762802232mm,0.035995
393,32.2219119028897mm,31.1766162634796mm,-0.990884773662551fraction,4.58496314139515mm,0.037897
337,32.2228206913375mm,31.17625mm,-0.966348618633629fraction,4.5863310764022mm,0.039752
306,31.3077731062364mm,31.1442191675055mm,-0.654527768154675fraction,4.5129369856674mm,0.040878
296,32.2219119028897mm,31.17625mm,-0.990884773662551fraction,4.51018584286184mm,0.041699
338,32.1077754455082mm,31.17625mm,-0.990884773662551fraction,4.57803374326702mm,0.041895
297,32.26mm,31.17625mm,-0.990884773662551fraction,4.57944790040518mm,0.043677
254,32.2219119028897mm,31.17625mm,-0.990884773662551fraction,4.50932187596962mm,0.043975
319,32.214062824787mm,31.17625mm,-0.974864803531796fraction,4.50876762802232mm,0.044067
364,32.2219119028897mm,31.175268830957mm,-0.988000537009381fraction,4.50824370454744mm,0.045666
380,32.0874637261701mm,31.1762081216087mm,-0.963101951030275fraction,4.57733694768348mm,0.048681
238,32.1032356672808mm,31.17625mm,-0.974476552470857fraction,4.48953097895707mm,0.049396
376,32.2219119028897mm,31.141611145435mm,-0.993201169216435fraction,4.57802484654445mm,0.049976
336,32.2131540363391mm,31.17625mm,-0.974704068135374fraction,4.50047029488713mm,0.050518
314,31.4788028539701mm,31.1717919746725mm,-0.755680987018451fraction,4.5129369856674mm,0.050985
255,32.26mm,31.17625mm,-0.990884773662551fraction,4.58031186729739mm,0.051814
406,32.1737627776635mm,31.1697597861437mm,-0.828796428649581fraction,4.42562883396263mm,0.052696
409,32.1057714864378mm,31.1762506085082mm,-0.990884773662551fraction,4.57803374326702mm,0.054234
359,32.26mm,31.1739321432374mm,-0.990884773662551fraction,4.57624639499339mm,0.054279
358,32.1748201551019mm,31.0645100299841mm,-0.826453877605839fraction,4.42883033937442mm,0.055823
310,32.2219119028897mm,31.1562848954955mm,-0.990884773662551fraction,4.57803374326702mm,0.059022
397,32.2314693436497mm,31.17625mm,-0.990884773662551fraction,4.50913542931475mm,0.059107
82,32.26mm,31.17625mm,-0.990884773662551fraction,4.5116mm,0.059631
339,32.225221202765mm,31.17625mm,-0.990496522601612fraction,4.49008522690437mm,0.059771
349,32.2587739139553mm,31.17625mm,-0.974864803531796fraction,4.51167633944112mm,0.060795
318,32.1110847453835mm,31.17625mm,-0.990496522601612fraction,4.49008522690437mm,0.060813
352,32.2219119028897mm,31.17625mm,-0.995725333229196fraction,4.46393135181109mm,0.063703
379,32.2606386426283mm,31.1791570170666mm,-0.990884773662551fraction,4.57803374326702mm,0.064365
387,31.3077731062364mm,31.1442191675055mm,-0.655233289400794fraction,4.5129369856674mm,0.065118
368,31.4260036236256mm,31.1423295046987mm,-0.73893300220933fraction,4.47728207330017mm,0.067843
351,32.2590743802297mm,31.17625mm,-0.990884773662551fraction,4.58949035775394mm,0.07073
400,32.222559837966mm,31.1773889550766mm,-0.991474145428719fraction,4.51764552365704mm,0.072532
340,32.1607258879917mm,31.17625mm,-0.991331687469797fraction,4.49586588091566mm,0.078261
332,31.3077731062364mm,31.1442191675055mm,-0.654527768154675fraction,4.52173709919252mm,0.078711
344,32.2213684621117mm,31.1577784096405mm,-0.995847102035529fraction,4.5129369856674mm,0.079775
259,32.3036877986302mm,31.460134979898mm,-0.628615484824202fraction,5.14352570799997mm,0.080984
326,32.172385288307mm,31.17625mm,-0.990884773662551fraction,4.46578177109031mm,0.082368
346,32.0885828389713mm,31.1752306064843mm,-0.993993721656767fraction,4.51423035939431mm,0.083772
382,32.0229988296015mm,31.1735679878262mm,-0.981747296562845fraction,4.45962921794925mm,0.084776
350,32.22283752266mm,31.17625mm,-0.990884773662551fraction,4.50014338551308mm,0.085471
334,32.11522290548mm,31.17625mm,-0.990496522601612fraction,4.48969997886762mm,0.088661
276,32.26mm,31.1401820620334mm,-0.99164128216607fraction,4.51249865370458mm,0.090165
304,32.26mm,31.1412014555491mm,-0.99164128216607fraction,4.51249865370458mm,0.11006
283,32.1248837804631mm,31.4511685415095mm,-0.974476552470857fraction,5.09962217352891mm,0.12797
322,31.4476517368079mm,31.4406195464494mm,-0.657948275833829fraction,4.46168610383694mm,0.15077
324,31.2954877025506mm,31.17625mm,-0.741880503698436fraction,4.5129369856674mm,0.18458
299,32.1748201551019mm,31.0440664396671mm,-0.664737161643526fraction,4.46522711171473mm,0.24888
300,32.1748201551019mm,31.0443921614774mm,-0.840553485470375fraction,4.46522711171473mm,0.25221
309,32.3006820239724mm,31.460134979898mm,-0.628615484824202fraction,5.14352570799997mm,0.34867
308,32.1778259297596mm,31.02mm,-0.661666666666667fraction,4.46522711171473mm,0.41857
287,32.1232543296927mm,31.0443921614774mm,-0.827604510917058fraction,4.46522711171473mm,0.48993
243,32.26mm,31.17625mm,-0.654527768154675fraction,5.05439695652431mm,0.49442
342,32.1748201551019mm,31.05947440943mm,-0.998534680561927fraction,4.42562883396263mm,0.5621
356,31.4809530444382mm,31.1718678212175mm,-0.98044250649191fraction,4.5129369856674mm,0.60125
195,32.1748201551019mm,31.0443921614774mm,-0.827604510917058fraction,4.46522711171473mm,0.62025
330,32.1045635392152mm,31.0686823870778mm,-0.972134001427114fraction,4.48953097895707mm,0.62359
262,31.3858865481513mm,31.1510827886602mm,-0.990884773662551fraction,4.5116mm,0.70934
354,31.4991088950375mm,31.1423295046987mm,-0.986201725253192fraction,4.45831123778236mm,0.86647
374,31.392973754741mm,31.17625mm,-0.962339995802009fraction,4.47992319129927mm,0.90316
295,32.3767741516447mm,31.1681000729715mm,-0.654527768154675fraction,5.05439695652431mm,0.90968
253,31.46mm,31.4406195464494mm,-0.506379995688465fraction,5.0364mm,0.94574
247,32.1748201551019mm,31.02mm,-0.661692308810797fraction,4.46522711171473mm,1.0108
301,32.1748201551019mm,31.02mm,-0.64871769211335fraction,4.46522711171473mm,1.0588
205,31.3631102238513mm,30.961207207852mm,-0.858289164380729fraction,3.38832659593762mm,1.1831
348,31.341175458983mm,31.1510827886602mm,-0.991321083978553fraction,4.5086912885812mm,1.1903
293,32.26mm,31.17625mm,-0.679224658580019fraction,5.05439695652431mm,1.2174
140,32.1748201551019mm,31.02mm,-0.661666666666667fraction,4.46522711171473mm,1.2211
298,32.1748201551019mm,31.0203257218103mm,-0.824534015940198fraction,4.46522711171473mm,1.2276
369,32.0885828389713mm,31.17625mm,-0.470984118201279fraction,4.50940118558088mm,1.23
315,32.0697799850012mm,31.4450775717769mm,-0.49257951236845fraction,5.0364mm,1.3342
244,32.2726348743444mm,31.0330695346146mm,-0.990884773662551fraction,4.50337901939023mm,1.3621
268,31.3631102238513mm,30.9800333572799mm,-0.851960786968169fraction,3.38832659593762mm,1.4793
191,32.1748201551019mm,31.02mm,-0.998023672174543fraction,4.46389012604733mm,1.7667
353,32.1778259297596mm,31.02mm,-0.656826107100022fraction,4.51061763587327mm,1.9526
375,32.2549417717742mm,31.1423295046987mm,-0.496581394572715fraction,4.57185682518138mm,2.0592
290,31.341781174661mm,30.9643529855411mm,-0.858289164380729fraction,3.37719021233455mm,2.1512
203,32.2726348743444mm,31.024684990122mm,-0.990884773662551fraction,4.50337901939023mm,2.2414
